Non-Eco-Friendly Product,Eco-Friendly Option 1,Eco-Friendly Option 2,Eco-Friendly Option 3
Non-Recyclable Plastic Gift Wrap,Recyclable Wrapping Paper,Furoshiki Wraps,Reusable Fabric Gift Bags
Synthetic Ear Plugs,Silicone Ear Plugs,Recycled Foam Ear Plugs,Cotton Ear Plugs
Non-Recyclable Plastic Trash Cans,Metal Trash Cans,Wooden Trash Cans,Bamboo Trash Cans
Synthetic Bathrobes,Cotton Bathrobes,Bamboo Bathrobes,Recycled Plastic Bathrobes
Non-Recyclable Plastic Dog Toys,Natural Rubber Dog Toys,Recycled Plastic Dog Toys,Hemp Dog Toys
Synthetic Dish Towels,Linen Dish Towels,Cotton Dish Towels,Recycled Cotton Dish Towels
Non-Recyclable Plastic Cutting Boards,Bamboo Cutting Boards,Wooden Cutting Boards,Glass Cutting Boards
Synthetic Window Blinds,Bamboo Window Blinds,Recycled Plastic Window Blinds,Linen Window Blinds
Non-Recyclable Plastic Razors,Safety Razors,Electric Razors,Straight Razors
Synthetic Diapers,Cloth Diapers,Biodegradable Diapers,Compostable Diapers
Non-Recyclable Plastic Garden Hose,Recycled Rubber Garden Hose,Stainless Steel Garden Hose,Expandable Garden Hose
Synthetic Bath Mats,Bamboo Bath Mats,Cork Bath Mats,Recycled Plastic Bath Mats
Non-Recyclable Plastic Laundry Detergent Bottles,Laundry Detergent Sheets,Refillable Laundry Detergent Bottles,DIY Laundry Detergent
Synthetic Pet Beds,Hemp Pet Beds,Recycled Plastic Pet Beds,Bamboo Pet Beds
Non-Recyclable Plastic Light Bulbs,LED Light Bulbs,CFL Light Bulbs,Halogen Light Bulbs
Synthetic Dish Soap,Bar Dish Soap,Refillable Dish Soap Bottle,DIY Dish Soap
Non-Recyclable Plastic Dryer Sheets,Wool Dryer Balls,Bamboo Dryer Sheets,DIY Dryer Sheets
Synthetic Couches,Sustainable Wood Couches,Recycled Plastic Couches,Organic Cotton Couches
Non-Recyclable Plastic Toothbrushes,Bamboo Toothbrushes,Recycled Plastic Toothbrushes,Silicone Toothbrushes
Synthetic Carpet,Organic Cotton Rugs,Bamboo Rugs,Recycled Plastic Rugs
Non-Recyclable Plastic Food Storage Bags,Reusable Silicone Bags,Beeswax Food Wraps,Reusable Cloth Bags
Synthetic Shower Curtains,Linen Shower Curtains,Bamboo Shower Curtains,Recycled Plastic Shower Curtains
Non-Recyclable Plastic Pens,Refillable Pens,Recycled Plastic Pens,Bamboo Pens
Synthetic Running Shoes,Sustainable Running Shoes,Recycled Plastic Running Shoes,Vegan Running Shoes
Non-Recyclable Plastic Shopping Bags,Reusable Shopping Bags,Compostable Shopping Bags,Recycled Plastic Shopping Bags
Synthetic Insulation,Natural Sheep Wool Insulation,Cotton Insulation,Recycled Denim Insulation
Non-Recyclable Plastic Wrap,Beeswax Food Wraps,Silicone Food Wraps,Cloth Food Wraps
Synthetic Pillows,Buckwheat Pillows,Kapok Pillows,Recycled Plastic Pillows
Non-Recyclable Plastic Floss,Refillable Floss Containers,Silk Floss,Bamboo Charcoal Floss
Synthetic Keyboard and Mouse,Bamboo Keyboard and Mouse,Recycled Plastic Keyboard and Mouse,Wireless Keyboard and Mouse
Non-Recyclable Plastic Food Straws,Stainless Steel Straws,Bamboo Straws,Glass Straws
Synthetic Backpacks,Hemp Backpacks,Recycled Plastic Backpacks,Cork Backpacks
Non-Recyclable Plastic Ziplock Bags,Reusable Silicone Bags,Beeswax Food Wraps,Reusable Cloth Bags
Synthetic Fishing Gear,Bamboo Fishing Gear,Recycled Plastic Fishing Gear,Sustainable Fishing Gear
Non-Recyclable Plastic Phone Cases,Biodegradable Phone Cases,Recycled Plastic Phone Cases,Wooden Phone Cases
Synthetic Shower Gel,Bar Soap,Refillable Shower Gel Bottle,DIY Shower Gel
Non-Recyclable Plastic Water Bottles,Stainless Steel Water Bottles,Glass Water Bottles,Reusable Plastic Water Bottles
Synthetic Sunglasses,Wooden Sunglasses,Bamboo Sunglasses,Recycled Plastic Sunglasses
